]0;🐍Done | 9.2.8\
Code stopped by auto-reload. Reloading soon.
soft reboot
[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
[2K[0Gcode.py output:
]0;🐍code.py | 9.2.8\
BNO085 initialized, 1 reports successfully.
IMU initialized.
timestamp_s,roll_deg
33.2610,92.9375
33.2920,92.9375
33.3190,95.1376
33.3510,95.1376
33.3840,96.6324
33.4150,97.5833
33.4460,97.5833
33.4740,99.0040
33.5050,99.0040
33.5310,100.8586
33.5630,102.9799
33.5950,102.9799
33.6220,105.2295
33.6580,107.2337
33.6910,107.2337
33.7190,108.4235
33.7510,108.4235
33.7780,108.9648
33.8100,109.4364
33.8430,109.4364
33.8690,109.8494
33.9060,110.1055
33.9380,110.1055
33.9660,110.3596
33.9980,110.3596
34.0260,110.5807
34.0590,111.1381
34.0910,111.1381
34.1180,112.1692
34.1500,112.1692
34.1830,114.0470
34.2150,116.7570
34.2470,116.7570
34.2740,120.2299
34.3080,124.2895
34.3400,124.2895
34.3670,129.6281
34.3990,129.6281
34.4270,135.7319
34.4640,142.1273
34.4960,142.1273
34.5230,149.1086
34.5570,157.0695
34.5880,157.0695
34.6150,164.7361
34.6470,164.7361
34.6750,169.6915
34.7120,168.1337
34.7440,168.1337
34.7710,167.3748
34.8040,164.7718
34.8360,164.7718
34.8630,161.0887
34.8960,161.0887
34.9240,156.7123
34.9610,151.8957
34.9920,151.8957
35.0190,147.1024
35.0520,142.8473
35.0840,142.8473
35.1120,138.7894
35.1430,138.7894
35.1710,134.9835
35.2030,131.5710
35.2390,131.5710
35.2660,128.8292
35.2980,128.8292
35.3250,126.7956
35.3570,125.2539
35.3900,125.2539
35.4170,124.0918
35.4480,124.0918
35.4760,123.0014
35.5130,121.9405
35.5450,121.9405
35.5720,121.0511
35.6040,120.2860
35.6370,120.2860
35.6640,119.6696
35.6960,119.6696
35.7240,119.0993
35.7610,118.6056
35.7940,118.6056
35.8210,118.2491
35.8540,117.9213
35.8870,117.9213
35.9140,117.5722
35.9460,117.5722
35.9740,117.1522
36.0100,116.7101
36.0420,116.7101
36.0700,116.2561
36.1010,115.7857
36.1340,115.7857
36.1610,116.0741
36.1930,116.0741
36.2210,116.0629
36.2540,115.8517
36.2910,115.8517
36.3180,115.5656
36.3510,115.1197
36.3830,115.1197
36.4100,114.6008
36.4420,114.6008
36.4700,114.0453
36.5020,113.3937
36.5390,113.3937
36.5650,112.7861
36.5980,112.7861
36.6250,112.2794
36.6560,111.8928
36.6880,111.8928
36.7160,111.6060
36.7470,111.2329
36.7830,111.2329
36.8100,110.7751
36.8430,110.7751
36.8700,110.2715
36.9020,109.7088
36.9340,109.7088
36.9620,109.0201
36.9940,109.0201
37.0210,108.1683
37.0540,107.2449
37.0910,107.2449
37.1180,106.3167
37.1500,105.5617
37.1840,105.5617
37.2110,104.9158
37.2430,104.9158
37.2700,104.3195
37.3030,103.8761
37.3390,103.8761
37.3670,103.5703
37.3990,103.4692
37.4320,103.4692
37.4590,103.5259
37.4910,103.5259
37.5180,103.6618
37.5510,103.7638
37.5880,103.7638
37.6150,103.6276
37.6480,103.2659
37.6810,103.2659
37.7080,102.7810
37.7400,102.7810
37.7680,102.2892
37.8000,101.8340
37.8320,101.8340
37.8640,101.4574
37.8960,101.1937
37.9290,101.1937
37.9560,101.1828
37.9880,101.1828
38.0160,101.2929
38.0490,101.4472
38.0810,101.4472
38.1080,101.5467
38.1450,101.5586
38.1780,101.5586
38.2050,101.4916
38.2370,101.4916
38.2650,101.4138
38.2970,101.3467
38.3290,101.3467
38.3560,101.2241
38.3930,101.2241
38.4210,101.0700
38.4530,100.8398
38.4840,100.8398
38.5120,100.5660
38.5430,100.5660
38.5690,100.3468
38.6020,100.1179
38.6340,100.1179
38.6650,99.8788
38.6970,99.6409
38.7290,99.6409
38.7570,99.4462
38.7890,99.4462
38.8160,99.2404
38.8490,99.0564
38.8800,99.0564
38.9070,98.8303
38.9440,98.6576
38.9770,98.6576
39.0050,98.5606
39.0380,98.5606
39.0650,98.5403
39.0980,98.6038
39.1300,98.6038
39.1570,98.6152
39.1930,98.6258
39.2260,98.6258
39.2540,98.6250
39.2860,98.6250
39.3130,98.5932
39.3470,98.5070
39.3790,98.5070
39.4060,98.3890
39.4380,98.3890
39.4660,98.2065
39.5020,98.0037
39.5340,98.0037
39.5610,97.8441
39.5940,97.6946
39.6260,97.6946
39.6530,97.5046
39.6850,97.5046
39.7130,97.3129
39.7500,97.1648
39.7810,97.1648
39.8090,97.0803
39.8400,97.0803
39.8660,96.9848
39.8980,96.8481
39.9300,96.8481
39.9560,96.7424
39.9890,96.7424
40.0200,96.6484
40.0530,96.7117
40.0850,96.7117
40.1120,96.9435
40.1440,97.2827
40.1770,97.2827
