]0;🐍Done | 9.2.8\
Code stopped by auto-reload. Reloading soon.
soft reboot
[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
[2K[0Gcode.py output:
]0;🐍code.py | 9.2.8\
BNO085 initialized, 1 reports successfully.
IMU initialized.
timestamp_s,roll_deg
34.9790,77.0577
35.0110,75.0226
35.0430,75.0226
35.0700,71.6112
35.1020,71.6112
35.1290,66.0340
35.1610,57.5314
35.1920,57.5314
35.2190,44.9775
35.2560,26.4221
35.2870,26.4221
35.3150,1.9938
35.3470,1.9938
35.3740,7.0890
35.4050,7.0890
35.4320,2.5297
35.4640,2.4422
35.5000,2.4422
35.5270,3.0100
35.5610,2.9377
35.5930,2.9377
35.6200,3.1331
35.6520,3.1331
35.6800,3.2316
35.7120,3.3417
35.7430,3.3417
35.7710,3.7868
35.8080,6.6490
35.8400,6.6490
35.8670,11.2938
35.8990,11.2938
35.9270,18.0353
35.9590,26.2540
35.9910,26.2540
36.0190,34.8907
36.0560,42.9201
36.0870,42.9201
36.1140,49.6172
36.1470,49.6172
36.1740,55.0479
36.2060,59.5384
36.2380,59.5384
36.2660,63.5117
36.2980,63.5117
36.3290,66.5272
36.3610,68.8724
36.3920,68.8724
36.4190,71.0154
36.4510,71.0154
36.4780,73.0143
36.5100,75.0139
36.5420,75.0139
36.5680,76.9135
36.6060,78.3654
36.6380,78.3654
36.6650,79.2047
36.6970,79.2047
36.7250,79.6796
36.7570,80.0559
36.7880,80.0559
36.8150,80.6540
36.8520,80.6540
36.8780,81.3098
36.9100,82.0460
36.9410,82.0460
36.9680,82.3898
37.0000,82.3898
37.0270,82.1462
37.0590,81.0494
37.0910,81.0494
37.1180,78.8473
37.1540,75.3595
37.1870,75.3595
37.2140,70.1810
37.2460,70.1810
37.2730,62.7034
37.3060,51.9257
37.3380,51.9257
37.3650,36.1333
37.4020,12.6657
37.4340,12.6657
37.4610,5.3575
37.4920,5.3575
37.5200,6.3332
37.5510,3.0363
37.5830,3.0363
37.6100,3.1210
37.6430,3.1210
37.6750,3.0657
37.7070,3.1342
37.7400,3.1342
37.7670,3.1540
37.7990,3.1540
37.8260,3.3511
37.8580,3.4344
37.8900,3.4344
37.9170,3.7129
37.9530,6.5349
37.9850,6.5349
38.0130,13.1771
38.0450,13.1771
38.0720,21.9282
38.1050,31.7878
38.1370,31.7878
38.1640,41.5038
38.2000,50.3494
38.2320,50.3494
38.2600,57.3976
38.2930,57.3976
38.3200,62.7089
38.3530,66.2081
38.3850,66.2081
38.4120,68.5405
38.4440,68.5405
38.4720,70.4218
38.5090,73.3327
38.5410,73.3327
38.5680,76.8827
38.6010,81.6208
38.6330,81.6208
38.6600,86.2072
38.6920,86.2072
38.7200,90.2361
38.7570,94.2463
38.7890,94.2463
38.8160,99.5774
38.8480,104.9743
38.8800,104.9743
38.9070,107.2575
38.9390,107.2575
38.9650,107.8795
39.0010,108.3788
39.0330,108.3788
39.0610,108.2001
39.0930,108.2001
39.1200,107.1904
39.1520,104.8430
39.1850,104.8430
39.2120,100.8767
39.2440,100.8767
39.2720,96.9966
39.3090,94.0821
39.3420,94.0821
39.3690,92.1019
39.4010,90.7455
39.4340,90.7455
39.4610,89.7649
39.4930,89.7649
39.5210,89.0119
39.5580,88.4230
39.5900,88.4230
39.6160,87.9613
39.6480,87.6411
39.6800,87.6411
39.7070,87.3304
39.7400,87.3304
39.7680,86.9529
39.8000,86.6739
39.8360,86.6739
39.8630,86.7084
39.8950,86.7084
39.9210,86.0650
39.9530,84.5995
39.9840,84.5995
40.0110,82.6099
40.0430,82.6099
40.0700,79.9715
40.1070,76.2405
40.1390,76.2405
40.1660,70.9015
40.1980,63.3399
40.2310,63.3399
40.2580,52.5434
40.2900,52.5434
40.3180,36.7910
40.3550,13.2858
40.3880,13.2858
40.4150,6.2302
40.4470,6.4386
40.4800,6.4386
40.5070,3.2829
40.5390,3.2829
40.5660,3.6206
40.5990,3.6205
40.6360,3.6205
40.6630,3.5989
40.6940,3.6536
40.7270,3.6536
40.7540,3.7027
40.7860,3.7027
40.8140,3.7646
40.8460,3.8161
40.8830,3.8161
40.9100,3.8724
40.9420,3.8724
40.9690,3.9148
41.0010,3.9574
41.0320,3.9574
41.0590,3.2945
41.0920,3.2945
41.1190,3.0660
41.1510,3.0215
41.1880,3.0215
41.2150,2.9779
41.2470,2.9342
41.2790,2.9342
41.3070,2.8905
41.3390,2.8905
41.3660,2.8540
41.3980,2.8243
41.4360,2.8243
41.4630,2.8011
41.4950,2.7790
41.5270,2.7790
41.5550,2.7572
41.5870,2.7572
41.6140,2.7419
41.6470,2.7267
41.6790,2.7267
41.7100,2.7048
41.7420,2.6899
41.7740,2.6899
41.8020,2.6683
41.8340,2.6683
41.8610,2.6540
41.8950,2.6397
41.9270,2.6397
41.9540,2.6393
41.9910,2.6393
42.0180,2.6179
42.0500,2.6175
42.0810,2.6175
42.1080,2.5957
42.1400,2.5957
42.1670,2.5817
42.1990,2.5674
42.2340,2.5674
42.2620,2.5530
42.2950,2.5525
42.3270,2.5525
42.3550,2.5456
42.3870,2.5456
42.4140,2.5382
42.4460,2.5308
42.4790,2.5308
42.5060,2.5238
42.5430,2.5164
42.5750,2.5164
42.6030,2.5230
42.6350,2.5230
42.6620,2.5020
42.6940,2.5021
42.7270,2.5021
42.7540,2.4951
42.7910,2.4877
42.8240,2.4877
42.8530,2.4807
42.8840,2.4807
42.9110,2.4881
42.9430,2.4807
42.9760,2.4807
43.0030,2.4808
43.0350,2.4808
43.0660,2.4952
43.0980,2.4951
43.1290,2.4951
43.1560,2.4955
43.1880,2.4955
43.2150,2.4955
43.2470,2.5025
43.2780,2.5025
43.3050,2.4951
43.3410,2.4881
43.3730,2.4881
43.4000,2.4881
43.4330,2.4881
43.4600,2.4813
43.4920,2.4813
43.5240,2.4813
43.5520,2.4817
43.5880,2.4817
43.6150,2.4817
43.6470,2.4818
43.6790,2.4818
43.7060,2.4822
43.7380,2.4822
43.7700,2.4822
43.7970,2.4892
43.8290,2.4892
43.8570,2.4892
43.8920,2.4892
43.9250,2.4892
43.9520,2.4896
43.9840,2.4896
44.0120,2.4896
44.0440,2.4826
44.0760,2.4826
44.1030,2.4826
44.1400,2.4826
44.1730,2.4826
44.2000,2.4826
44.2320,2.4826
